
2017-01-18 11:55:51.666621s, sigma, w_mle, w_pq 
0.050000, 0.500000, 5.129466, 1.953203 

2017-01-18 12:09:16.359868
s, sigma, w_mle, w_pq 

2017-01-18 12:11:43.677206
s, sigma, w_mle, w_pq 
0.050000, 0.500000, 5.157522, 2.109373 
0.050000, 1.000000, 7.851541, 7.001154 
0.050000, 1.500000, 11.257387, 11.608590 
0.050000, 2.000000, 14.667744, 16.117477 
0.050000, 3.000000, 26.751045, 26.519537 
0.050000, 5.000000, inf, 46.403650 
0.010000, 0.500000, 7.198752, 5.925177 
0.010000, 1.000000, 15.530414, 16.410021 
0.010000, 1.500000, 26.508496, 26.324747 
0.010000, 2.000000, 40.707327, 37.892658 
0.010000, 3.000000, inf, 63.068965 
0.010000, 5.000000, 72.816037, 100.600561 
0.005000, 0.500000, 8.108602, 7.792461 
0.005000, 1.000000, 19.465981, 21.799715 
0.005000, 1.500000, 50.034069, 36.061009 
0.005000, 2.000000, inf, 55.460791 
0.005000, 3.000000, 37.731646, 87.680839 
0.005000, 5.000000, inf, 123.451404 
0.001000, 0.500000, inf, 22.131350 
