s,K,N,sigma,<w(p)>,w(<p>),w_theo,n_real,<F>
0.074989,150,100,1.000000,8.321674,8.452446,6.325001,20,0.016252
0.007499,150,100,0.500000,15.836899,16.665517,10.000705,20,0.048805
0.007499,150,100,1.000000,28.131383,29.057730,20.001411,20,0.031824
0.023714,150,100,1.000000,15.438898,15.783832,11.247620,20,0.022899
0.074989,150,100,0.500000,4.543051,4.638495,3.162501,20,0.021422
0.023714,150,100,0.500000,8.592573,8.878793,5.623810,20,0.033248
0.005623,150,100,0.500000,18.261687,19.459847,11.548634,20,0.057677
0.056234,150,100,1.000000,9.781135,9.949758,7.303998,20,0.017856
0.056234,150,100,0.500000,5.367265,5.487916,3.651999,20,0.023270
0.005623,150,100,1.000000,32.741818,33.951816,23.097269,20,0.034314
0.017783,150,100,1.000000,18.040898,18.482107,12.988549,20,0.024672
0.017783,150,100,0.500000,10.033609,10.407184,6.494274,20,0.036465
0.004217,150,100,0.500000,21.360533,22.689001,13.336155,20,0.054834
0.042170,150,100,0.500000,6.305130,6.468764,4.217262,20,0.026663
0.042170,150,100,1.000000,11.409704,11.620574,8.434525,20,0.018881
0.004217,150,100,1.000000,37.438458,39.081498,26.672310,20,0.040290
0.013335,150,100,1.000000,20.725307,21.274442,14.998942,20,0.026469
0.013335,150,100,0.500000,11.516378,12.015817,7.499471,20,0.040996
0.031623,150,100,0.500000,7.370779,7.594593,4.870019,20,0.030240
0.003162,150,100,0.500000,24.990027,26.957894,15.400351,20,0.068896
0.031623,150,100,1.000000,13.334441,13.603105,9.740037,20,0.020381
0.003162,150,100,1.000000,44.020398,46.120564,30.800703,20,0.041459
0.010000,150,100,1.000000,24.419040,25.163793,17.320508,20,0.029832
0.010000,150,100,0.500000,13.732920,14.384950,8.660254,20,0.044284
0.023714,37,400,0.250000,3.061354,3.114739,2.811905,20,0.017919
0.074989,37,400,0.250000,1.443055,1.455835,1.581250,20,0.009202
0.007499,37,400,0.250000,5.748189,5.933081,5.000353,20,0.030437
0.074989,150,100,2.000000,16.092488,16.298283,12.650003,20,0.013248
0.007499,150,100,2.000000,54.270366,55.492653,40.002821,20,0.021997
0.023714,150,100,2.000000,29.855218,30.328277,22.495240,20,0.016260
0.017783,37,400,0.250000,3.631584,3.704610,3.247137,20,0.020246
0.056234,37,400,0.250000,1.791016,1.810168,1.825999,20,0.011072
0.005623,37,400,0.250000,6.750249,7.014006,5.774317,20,0.034869
0.056234,150,100,2.000000,18.899480,19.154609,14.607995,20,0.013953
0.005623,150,100,2.000000,62.853632,64.558550,46.194537,20,0.025264
0.017783,150,100,2.000000,34.660555,35.244406,25.977097,20,0.017381
0.013335,37,400,0.250000,4.223083,4.328371,3.749736,20,0.024533
0.042170,37,400,0.250000,2.174786,2.202194,2.108631,20,0.012969
0.004217,37,400,0.250000,7.771034,8.116749,6.668077,20,0.039244
0.004217,150,100,2.000000,71.577516,73.619938,53.344620,20,0.026581
0.042170,150,100,2.000000,22.088961,22.403381,16.869050,20,0.014659
0.013335,150,100,2.000000,40.165987,40.925319,29.997884,20,0.018996
0.010000,37,400,0.250000,4.936118,5.073384,4.330127,20,0.026911
0.031623,37,400,0.250000,2.599311,2.636980,2.435009,20,0.014919
0.003162,37,400,0.250000,9.090596,9.553805,7.700176,20,0.041572
0.003162,150,100,2.000000,81.735148,84.376830,61.601406,20,0.029091
0.031623,150,100,2.000000,25.597946,25.985047,19.480075,20,0.015579
0.010000,150,100,2.000000,46.510934,47.430923,34.641016,20,0.019750
0.000422,37,400,0.250000,23.610762,26.195757,21.086312,20,0.068634
0.001000,37,400,0.250000,16.442461,17.821620,13.693064,20,0.057662
0.002371,37,400,0.250000,10.893722,11.553429,8.892024,20,0.049310
0.000178,37,400,0.250000,27.774083,31.988508,32.471372,20,0.080182
0.000750,37,400,0.250000,19.388704,21.338050,15.812504,20,0.064164
0.000316,37,400,0.250000,24.433467,27.965197,24.350094,20,0.069537
0.001778,37,400,0.250000,11.913746,12.680786,10.268349,20,0.051790
0.000133,37,400,0.250000,27.569323,32.614140,37.497355,20,0.084026
0.000562,37,400,0.250000,21.006918,23.696727,18.259994,20,0.070863
0.000237,37,400,0.250000,26.426371,30.316212,28.119049,20,0.068433
0.001334,37,400,0.250000,13.775089,14.918217,11.857705,20,0.057046
