s,K,N,sigma,<w(p)>,w(<p>),w_theo,n_real,<F>
0.177828, 150, 100, 0.500000, 0.643070, 0.655366, 2.053670, 130, 0.021324 
0.100000, 150, 100, 0.500000, 1.180874, 1.216285, 2.738613, 91, 0.031121 
0.056234, 150, 100, 0.500000, 1.877997, 1.949057, 3.651999, 75, 0.044244 
0.031623, 150, 100, 0.500000, 2.766196, 2.912132, 4.870019, 65, 0.060684 
0.017783, 150, 100, 0.500000, 3.871043, 4.210491, 6.494274, 58, 0.079733 
0.010000, 150, 100, 0.500000, 5.368323, 5.920745, 8.660254, 53, 0.104334 
0.005623, 150, 100, 0.500000, 7.642729, 8.640724, 11.548634, 49, 0.126436 
0.003162, 150, 100, 0.500000, 11.397883, 12.883866, 15.400351, 45, 0.156544 
0.177828, 150, 100, 0.800000, 2.161909, 2.202635, 3.285872, 130, 0.018242 
0.100000, 150, 100, 0.800000, 3.280013, 3.349315, 4.381780, 91, 0.022697 
0.056234, 150, 100, 0.800000, 4.694731, 4.781301, 5.843198, 75, 0.027229 
0.031623, 150, 100, 0.800000, 6.426494, 6.602357, 7.792030, 65, 0.033609 
0.017783, 150, 100, 0.800000, 8.690016, 8.970259, 10.390839, 58, 0.042233 
0.010000, 150, 100, 0.800000, 11.848306, 12.303600, 13.856406, 53, 0.052683 
0.005623, 150, 100, 0.800000, 16.092517, 16.903364, 18.477815, 49, 0.064031 
0.003162, 150, 100, 0.800000, 21.808327, 22.880504, 24.640562, 45, 0.081118 
0.177828, 150, 100, 1.000000, 3.072243, 3.124832, 4.107340, 130, 0.017073 
0.100000, 150, 100, 1.000000, 4.552492, 4.631466, 5.477226, 91, 0.019386 
0.056234, 150, 100, 1.000000, 6.385186, 6.511331, 7.303998, 75, 0.023059 
0.031623, 150, 100, 1.000000, 8.758263, 8.939778, 9.740037, 65, 0.027656 
0.017783, 150, 100, 1.000000, 11.862567, 12.164205, 12.988549, 58, 0.033698 
0.010000, 150, 100, 1.000000, 16.161324, 16.589801, 17.320508, 53, 0.041899 
0.005623, 150, 100, 1.000000, 21.612954, 22.438150, 23.097269, 49, 0.051095 
0.003162, 150, 100, 1.000000, 29.490592, 30.190898, 30.800703, 45, 0.063968 
0.177828, 150, 100, 2.000000, 7.639254, 7.734535, 8.214679, 130, 0.013675 
0.100000, 150, 100, 2.000000, 11.059354, 11.187056, 10.954451, 91, 0.014555 
0.056234, 150, 100, 2.000000, 15.361453, 15.548211, 14.607995, 75, 0.016036 
0.031623, 150, 100, 2.000000, 20.791433, 21.082837, 19.480075, 65, 0.017759 
